Europe/Budapest_(+01:00),Voltage,Current,Battery_watts,Load_state,Load_current,Charger_on/off,Charge_state,PV_voltage,PV_current,PV_power,MPPT_State,Yield_today,Maximum_charge_power_today,Yield_yesterday,Maximum_charge_power_yesterday,Error_code,User_yield,instance
2022-01-25 17:55:34,26.24,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 17:56:34,26.23,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 17:57:34,26.22,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 17:58:33,26.23,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 17:59:34,26.21,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:00:34,26.22,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:01:34,26.22,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:02:34,26.21,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:03:34,26.20,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:04:34,26.20,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:05:34,26.20,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:06:34,26.19,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:07:34,26.18,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:08:34,26.18,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
2022-01-25 18:09:34,26.18,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,291
